epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15767.6,1.01324,0.46526,0.97495,0.93297,0.8994,0.95215,0.56316,1.22999,0.46172,1.10763,0.005842,0.005842,0.005842
44,16009.4,1.01129,0.46434,0.9733,0.92528,0.8997,0.95013,0.56259,1.22913,0.46132,1.1103,0.005743,0.005743,0.005743
45,16247.5,1.00913,0.46215,0.9708,0.93072,0.89462,0.95194,0.5641,1.22854,0.46161,1.11044,0.005644,0.005644,0.005644
46,16609.8,0.99329,0.45464,0.96669,0.92973,0.89756,0.95002,0.55973,1.23944,0.46571,1.11403,0.005545,0.005545,0.005545
47,16920.7,0.9915,0.45458,0.96675,0.93093,0.89215,0.94666,0.55557,1.2443,0.46718,1.12005,0.005446,0.005446,0.005446
48,17160.9,0.9812,0.4506,0.96443,0.93006,0.8986,0.95094,0.56235,1.23582,0.465,1.11488,0.005347,0.005347,0.005347
49,17414.5,0.9848,0.45233,0.96258,0.93086,0.8928,0.94921,0.55818,1.24337,0.46416,1.11743,0.005248,0.005248,0.005248
50,17718,0.97329,0.44689,0.95955,0.92463,0.898,0.94798,0.55816,1.24096,0.46254,1.11853,0.005149,0.005149,0.005149
51,17954.4,0.96868,0.44682,0.95857,0.92686,0.89962,0.94871,0.55875,1.2351,0.46452,1.11707,0.00505,0.00505,0.00505
52,18215.9,0.96337,0.44399,0.95837,0.92826,0.89528,0.94666,0.55805,1.24344,0.46747,1.12289,0.004951,0.004951,0.004951
53,18457.4,0.95906,0.44034,0.95477,0.92801,0.90027,0.94844,0.56022,1.23399,0.46393,1.11983,0.004852,0.004852,0.004852
54,18688.4,0.94983,0.43736,0.95451,0.92782,0.90114,0.94865,0.5615,1.2303,0.46318,1.1146,0.004753,0.004753,0.004753
55,18912.6,0.94994,0.43731,0.94933,0.92991,0.89973,0.94957,0.56012,1.23661,0.46223,1.11617,0.004654,0.004654,0.004654
56,19156.5,0.94317,0.43669,0.95049,0.92419,0.90562,0.95049,0.55884,1.24215,0.46119,1.12045,0.004555,0.004555,0.004555
57,19395.6,0.93691,0.43221,0.94677,0.92707,0.90298,0.95083,0.56084,1.2359,0.45863,1.11741,0.004456,0.004456,0.004456
58,19622.6,0.92914,0.42896,0.9452,0.92345,0.90135,0.94858,0.55947,1.23573,0.45894,1.11791,0.004357,0.004357,0.004357
59,19848,0.92091,0.42778,0.94413,0.92696,0.89876,0.94837,0.56048,1.2346,0.45835,1.11833,0.004258,0.004258,0.004258
60,20073.5,0.91716,0.42535,0.94001,0.93201,0.89506,0.94884,0.55746,1.23872,0.4603,1.1211,0.004159,0.004159,0.004159
61,20294.3,0.90948,0.42092,0.93807,0.93167,0.89605,0.94865,0.55794,1.2398,0.46119,1.12092,0.00406,0.00406,0.00406
62,20521.2,0.90842,0.41922,0.93791,0.9269,0.89933,0.9483,0.56002,1.23333,0.46098,1.11875,0.003961,0.003961,0.003961
63,20745.4,0.90398,0.42019,0.93975,0.92674,0.89843,0.94779,0.55962,1.23559,0.46303,1.12195,0.003862,0.003862,0.003862
64,20971.4,0.90141,0.41652,0.93683,0.92824,0.89334,0.94758,0.55844,1.241,0.46146,1.125,0.003763,0.003763,0.003763
65,21192.5,0.89612,0.4168,0.93626,0.92911,0.89821,0.94931,0.5583,1.24104,0.46052,1.12595,0.003664,0.003664,0.003664
66,21913.1,0.89106,0.41365,0.93315,0.93085,0.89713,0.94839,0.55892,1.23749,0.45726,1.12502,0.003565,0.003565,0.003565
67,22144.5,0.88216,0.41061,0.93196,0.92954,0.89858,0.94778,0.55868,1.23987,0.45772,1.12603,0.003466,0.003466,0.003466
68,22395.4,0.87871,0.40872,0.92973,0.93088,0.89735,0.9478,0.5581,1.24039,0.46033,1.12771,0.003367,0.003367,0.003367
69,22638.4,0.87032,0.40581,0.92734,0.92635,0.90103,0.94837,0.56025,1.24016,0.46123,1.12824,0.003268,0.003268,0.003268
70,22873.8,0.86748,0.4047,0.92721,0.9283,0.89702,0.94744,0.5601,1.24187,0.46208,1.1304,0.003169,0.003169,0.003169
71,23100.5,0.86525,0.40382,0.92616,0.93118,0.89572,0.94695,0.56048,1.23977,0.46033,1.13151,0.00307,0.00307,0.00307
72,23408.2,0.85678,0.4008,0.92326,0.92898,0.89944,0.94822,0.55966,1.23971,0.46136,1.13203,0.002971,0.002971,0.002971
