epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,531.457,1.88591,1.08288,1.21513,0.87792,0.81073,0.88803,0.42941,1.64395,0.77832,1.08299,0.00333197,0.00333197,0.00333197
2,1042.62,1.74541,0.86745,1.11058,0.88869,0.82236,0.89485,0.43295,1.65615,0.78631,1.09969,0.00662131,0.00662131,0.00662131
3,1549.48,1.76113,0.89376,1.12241,0.8843,0.81615,0.89168,0.42938,1.65272,0.80363,1.10299,0.00986666,0.00986666,0.00986666
4,2051.09,1.76737,0.9011,1.12545,0.8927,0.83723,0.90246,0.44767,1.62287,0.77443,1.09386,0.009802,0.009802,0.009802
5,2560.11,1.72004,0.8547,1.11036,0.90422,0.84766,0.91439,0.4525,1.61321,0.75049,1.08669,0.009736,0.009736,0.009736
6,3067.14,1.69176,0.82794,1.10203,0.90974,0.85192,0.91942,0.46274,1.58845,0.72237,1.07835,0.00967,0.00967,0.00967
7,3582.47,1.67374,0.80737,1.09327,0.90518,0.86086,0.92488,0.46955,1.58192,0.71233,1.07467,0.009604,0.009604,0.009604
8,4085.32,1.65606,0.79354,1.08567,0.90601,0.8618,0.92308,0.47232,1.5713,0.70723,1.07154,0.009538,0.009538,0.009538
9,4588,1.63833,0.77748,1.08287,0.90936,0.87324,0.92966,0.47777,1.56185,0.6936,1.07215,0.009472,0.009472,0.009472
10,5095.89,1.62489,0.76358,1.07663,0.91371,0.87584,0.93359,0.48282,1.55184,0.68043,1.06493,0.009406,0.009406,0.009406
11,5608.19,1.61344,0.75341,1.07207,0.91615,0.87735,0.93695,0.48881,1.52335,0.66542,1.05292,0.00934,0.00934,0.00934
12,6125.51,1.59629,0.74269,1.06385,0.91557,0.88419,0.93841,0.48875,1.53017,0.6622,1.05368,0.009274,0.009274,0.009274
13,6668.08,1.58492,0.73609,1.06299,0.91509,0.88439,0.93805,0.48744,1.53479,0.65848,1.05473,0.009208,0.009208,0.009208
14,7178.32,1.57707,0.72896,1.06141,0.92076,0.88739,0.94172,0.4902,1.5319,0.65373,1.05341,0.009142,0.009142,0.009142
15,7689.18,1.57189,0.7229,1.05861,0.91908,0.88935,0.9416,0.49161,1.53118,0.64965,1.05017,0.009076,0.009076,0.009076
16,8200.15,1.56372,0.71764,1.05563,0.92064,0.89056,0.94359,0.49696,1.50928,0.63939,1.0443,0.00901,0.00901,0.00901
