epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.728,1.88591,1.08288,1.21513,0.87792,0.81073,0.88803,0.42941,1.64395,0.77832,1.08299,0.00333197,0.00333197,0.00333197
2,1024.59,1.74541,0.86745,1.11058,0.88869,0.82236,0.89485,0.43295,1.65615,0.78631,1.09969,0.00662131,0.00662131,0.00662131
3,1523.23,1.76113,0.89376,1.12241,0.8843,0.81615,0.89168,0.42938,1.65272,0.80363,1.10299,0.00986666,0.00986666,0.00986666
4,2024.79,1.76737,0.9011,1.12545,0.8927,0.83723,0.90246,0.44767,1.62287,0.77443,1.09386,0.009802,0.009802,0.009802
5,2523.19,1.72004,0.8547,1.11036,0.90422,0.84766,0.91439,0.4525,1.61321,0.75049,1.08669,0.009736,0.009736,0.009736
6,3024.95,1.69176,0.82794,1.10203,0.90974,0.85192,0.91942,0.46274,1.58845,0.72237,1.07835,0.00967,0.00967,0.00967
